연번,호선,역명,장비,호기,승강기번호,운행구간(공사기준),설치위치,운행구간(자체조사)
650,5,오목교,E/S,1,1808-058,BM1-B1,내부,대합(B1)-BM1(#3 출구 측)
651,5,오목교,E/S,2,1808-059,BM1-B1,내부,대합(B1)-BM1(#7 출구 측)
652,5,오목교,E/S,3,1808-060,BM1-B1,내부,B1-BM1
653,5,오목교,E/S,4,1804-416,B1-B2,내부,하/대합(B2)-대합(B1)
654,5,오목교,E/S,5,1804-417,B1-B2,내부,하/대합(B2)-대합(B1)
655,5,오목교,E/S,6,1804-418,BM1-B1,내부,B1-BM1
656,5,오목교,E/S,7,1809-956,B2-B3,내부,승강장(B3)-대합(B2)
657,5,오목교,E/S,8,1809-957,B2-B3,내부,승강장(B3)-대합(B2)
658,5,오목교,E/S,9,1809-958,B2-B3,내부,승강장(B3)-대합(B2)
659,5,오목교,E/S,10,1809-959,B2-B3,내부,승강장(B3)-대합(B2)
660,5,오목교,E/S,,,,외부,
661,5,오목교,E/S,,,,외부,
662,5,양평,E/S,1,1808-097,B1-B3,내부,중앙(B3)-대합(B1)
663,5,양평,E/S,2,1808-098,B1-B3,내부,중앙(B3)-대합(B1)
664,5,양평,E/S,3,1808-099,B1-B3,내부,중앙(B3)-대합(B1)
665,5,양평,E/S,4,1808-100,B1-B3,내부,중앙(B3)-대합(B1)
666,5,양평,E/S,5,1804-419,F1-BM1,외부,BM1-지상(#2 출구)
667,5,양평,E/S,6,1804-420,F1-BM1,외부,BM1-지상(#2 출구)
668,5,양평,E/S,7,1812-613,B3-B4,내부,
669,5,양평,E/S,8,1812-614,B3-B4,내부,
670,5,영등포구청,E/S,1,1808-371,B1-B3,내부,주차장(B3)-대합(B1)
671,5,영등포구청,E/S,2,1808-372,B1-B3,내부,주차장(B3)-대합(B1)
672,5,영등포구청,E/S,3,1808-373,B1-B3,내부,주차장(B3)-대합(B1)
673,5,영등포구청,E/S,4,1808-374,B1-B3,내부,주차장(B3)-대합(B1)
674,5,영등포구청,E/S,5,1804-456,B1-B4,내부,환/대합(B4)-환승(B1)
675,5,영등포구청,E/S,6,1804-457,B1-B4,내부,환/대합(B4)-환승(B1)
676,5,영등포구청,E/S,7,1804-458,B1-B4,내부,환/대합(B4)-환승(B1)
677,5,영등포구청,E/S,8,1808-284,B4-B5,내부,시/승강(B5)-대합(B4)
678,5,영등포구청,E/S,9,1808-285,B4-B5,내부,시/승강(B5)-대합(B4)
679,5,영등포구청,E/S,10,1808-375,B4-B5,내부,종/승강(B5)-대합(B4)
680,5,영등포구청,E/S,11,1808-376,F1-B1,외부,대합(B1)-지상(#7 출구)
681,5,영등포구청,E/S,12,1808-377,F1-B1,외부,대합(B1)-지상(#7 출구)
